"Province.State","Country.Region","Date","Lat","Long","Confirmed","Deaths","Recovered","DeathRate"
"","Afghanistan",2020-01-22,33,65,0,0,0,NA
"","Afghanistan",2020-01-23,33,65,0,0,0,NA
"","Afghanistan",2020-01-24,33,65,0,0,0,NA
"","Afghanistan",2020-01-25,33,65,0,0,0,NA
"","Afghanistan",2020-01-26,33,65,0,0,0,NA
"","Afghanistan",2020-01-27,33,65,0,0,0,NA
"","Afghanistan",2020-01-28,33,65,0,0,0,NA
"","Afghanistan",2020-01-29,33,65,0,0,0,NA
"","Afghanistan",2020-01-30,33,65,0,0,0,NA
"","Afghanistan",2020-01-31,33,65,0,0,0,NA
"","Afghanistan",2020-02-01,33,65,0,0,0,NA
"","Afghanistan",2020-02-02,33,65,0,0,0,NA
"","Afghanistan",2020-02-03,33,65,0,0,0,NA
"","Afghanistan",2020-02-04,33,65,0,0,0,NA
"","Afghanistan",2020-02-05,33,65,0,0,0,NA
"","Afghanistan",2020-02-06,33,65,0,0,0,NA
"","Afghanistan",2020-02-07,33,65,0,0,0,NA
"","Afghanistan",2020-02-08,33,65,0,0,0,NA
"","Afghanistan",2020-02-09,33,65,0,0,0,NA
"","Afghanistan",2020-02-10,33,65,0,0,0,NA
"","Afghanistan",2020-02-11,33,65,0,0,0,NA
"","Afghanistan",2020-02-12,33,65,0,0,0,NA
"","Afghanistan",2020-02-13,33,65,0,0,0,NA
"","Afghanistan",2020-02-14,33,65,0,0,0,NA
"","Afghanistan",2020-02-15,33,65,0,0,0,NA
"","Afghanistan",2020-02-16,33,65,0,0,0,NA
"","Afghanistan",2020-02-17,33,65,0,0,0,NA
"","Afghanistan",2020-02-18,33,65,0,0,0,NA
"","Afghanistan",2020-02-19,33,65,0,0,0,NA
"","Afghanistan",2020-02-20,33,65,0,0,0,NA
"","Afghanistan",2020-02-21,33,65,0,0,0,NA
"","Afghanistan",2020-02-22,33,65,0,0,0,NA
"","Afghanistan",2020-02-23,33,65,0,0,0,NA
"","Afghanistan",2020-02-24,33,65,1,0,0,0
"","Afghanistan",2020-02-25,33,65,1,0,0,0
"","Afghanistan",2020-02-26,33,65,1,0,0,0
"","Afghanistan",2020-02-27,33,65,1,0,0,0
"","Afghanistan",2020-02-28,33,65,1,0,0,0
"","Afghanistan",2020-02-29,33,65,1,0,0,0
"","Afghanistan",2020-03-01,33,65,1,0,0,0
"","Afghanistan",2020-03-02,33,65,1,0,0,0
"","Afghanistan",2020-03-03,33,65,1,0,0,0
"","Afghanistan",2020-03-04,33,65,1,0,0,0
"","Afghanistan",2020-03-05,33,65,1,0,0,0
"","Afghanistan",2020-03-06,33,65,1,0,0,0
"","Afghanistan",2020-03-07,33,65,1,0,0,0
"","Afghanistan",2020-03-08,33,65,4,0,0,0
"","Afghanistan",2020-03-09,33,65,4,0,0,0
"","Afghanistan",2020-03-10,33,65,5,0,0,0
"","Afghanistan",2020-03-11,33,65,7,0,0,0
"","Afghanistan",2020-03-12,33,65,7,0,0,0
"","Afghanistan",2020-03-13,33,65,7,0,0,0
"","Afghanistan",2020-03-14,33,65,11,0,0,0
"","Afghanistan",2020-03-15,33,65,16,0,0,0
"","Afghanistan",2020-03-16,33,65,21,0,1,0
"","Afghanistan",2020-03-17,33,65,22,0,1,0
"","Afghanistan",2020-03-18,33,65,22,0,1,0
"","Afghanistan",2020-03-19,33,65,22,0,1,0
"","Afghanistan",2020-03-20,33,65,24,0,1,0
"","Afghanistan",2020-03-21,33,65,24,0,1,0
"","Albania",2020-01-22,41.1533,20.1683,0,0,0,NA
"","Albania",2020-01-23,41.1533,20.1683,0,0,0,NA
"","Albania",2020-01-24,41.1533,20.1683,0,0,0,NA
"","Albania",2020-01-25,41.1533,20.1683,0,0,0,NA
"","Albania",2020-01-26,41.1533,20.1683,0,0,0,NA
"","Albania",2020-01-27,41.1533,20.1683,0,0,0,NA
"","Albania",2020-01-28,41.1533,20.1683,0,0,0,NA
"","Albania",2020-01-29,41.1533,20.1683,0,0,0,NA
"","Albania",2020-01-30,41.1533,20.1683,0,0,0,NA
"","Albania",2020-01-31,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-01,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-02,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-03,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-04,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-05,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-06,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-07,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-08,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-09,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-10,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-11,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-12,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-13,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-14,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-15,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-16,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-17,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-18,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-19,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-20,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-21,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-22,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-23,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-24,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-25,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-26,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-27,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-28,41.1533,20.1683,0,0,0,NA
"","Albania",2020-02-29,41.1533,20.1683,0,0,0,NA
"","Albania",2020-03-01,41.1533,20.1683,0,0,0,NA
"","Albania",2020-03-02,41.1533,20.1683,0,0,0,NA
"","Albania",2020-03-03,41.1533,20.1683,0,0,0,NA
"","Albania",2020-03-04,41.1533,20.1683,0,0,0,NA
"","Albania",2020-03-05,41.1533,20.1683,0,0,0,NA
"","Albania",2020-03-06,41.1533,20.1683,0,0,0,NA
"","Albania",2020-03-07,41.1533,20.1683,0,0,0,NA
"","Albania",2020-03-08,41.1533,20.1683,0,0,0,NA
"","Albania",2020-03-09,41.1533,20.1683,2,0,0,0
"","Albania",2020-03-10,41.1533,20.1683,10,0,0,0
"","Albania",2020-03-11,41.1533,20.1683,12,1,0,0.0833333333333333
"","Albania",2020-03-12,41.1533,20.1683,23,1,0,0.0434782608695652
"","Albania",2020-03-13,41.1533,20.1683,33,1,0,0.0303030303030303
"","Albania",2020-03-14,41.1533,20.1683,38,1,0,0.0263157894736842
"","Albania",2020-03-15,41.1533,20.1683,42,1,0,0.0238095238095238
"","Albania",2020-03-16,41.1533,20.1683,51,1,0,0.0196078431372549
"","Albania",2020-03-17,41.1533,20.1683,55,1,0,0.0181818181818182
"","Albania",2020-03-18,41.1533,20.1683,59,2,0,0.0338983050847458
"","Albania",2020-03-19,41.1533,20.1683,64,2,0,0.03125
"","Albania",2020-03-20,41.1533,20.1683,70,2,0,0.0285714285714286
"","Albania",2020-03-21,41.1533,20.1683,76,2,2,0.0263157894736842
"","Algeria",2020-01-22,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-01-23,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-01-24,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-01-25,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-01-26,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-01-27,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-01-28,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-01-29,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-01-30,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-01-31,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-01,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-02,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-03,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-04,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-05,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-06,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-07,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-08,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-09,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-10,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-11,28.0339,1.6596,0,0,0,NA
"","Algeria",2020-02-12,28.0339,1.6596,0,0,0,NA
